sub_id,trial_num,dot,time,age,sex,itemprompt,trial_type,rt,left_quant,center_quant,right_quant,audio_prompt,bookl_1,bookl_2,bookl_3,bookl_4,bookc_1,bookc_2,bookc_3,bookc_4,bookr_1,bookr_2,bookr_3,bookr_4,all1,all2,all3,all4,some1,some2,some3,some4,none1,none2,none3,none4,item1,item2,item3,selection_side,correct,selection_type
121615_1,1,12/16/15,16:35,4.232717317,Female,comb,none,5499,all,some,none,nonecomb,images/comb.png,images/comb.png,images/comb.png,images/comb.png,images/lamp.png,images/comb.png,images/lamp.png,images/comb.png,images/bus.png,images/bus.png,images/bus.png,images/bus.png,comb,comb,comb,comb,lamp,comb,lamp,comb,bus,bus,bus,bus,comb,lamp,bus,L,N,all
121615_1,2,12/16/15,16:35,4.232717317,Female,bee,some,5292,all,none,some,somebee,images/bee.png,images/bee.png,images/bee.png,images/bee.png,images/spoon.png,images/spoon.png,images/spoon.png,images/spoon.png,images/clock.png,images/bee.png,images/clock.png,images/bee.png,bee,bee,bee,bee,clock,bee,clock,bee,spoon,spoon,spoon,spoon,bee,clock,spoon,L,N,all
121615_1,3,12/16/15,16:35,4.232717317,Female,lion,all,2458,some,all,none,alllion,images/lion.png,images/frog.png,images/frog.png,images/lion.png,images/lion.png,images/lion.png,images/lion.png,images/lion.png,images/bird.png,images/bird.png,images/bird.png,images/bird.png,lion,lion,lion,lion,lion,frog,frog,lion,bird,bird,bird,bird,lion,frog,bird,C,Y,all
121615_1,4,12/16/15,16:35,4.232717317,Female,dress,none,3574,some,none,all,nonedress,images/shirt.png,images/shirt.png,images/dress.png,images/dress.png,images/shorts.png,images/shorts.png,images/shorts.png,images/shorts.png,images/dress.png,images/dress.png,images/dress.png,images/dress.png,dress,dress,dress,dress,shirt,shirt,dress,dress,shorts,shorts,shorts,shorts,dress,shirt,shorts,R,N,all
121615_1,5,12/16/15,16:35,4.232717317,Female,monkey,all,351,some,all,none,allmonkey,images/monkey.png,images/penguin.png,images/monkey.png,images/penguin.png,images/monkey.png,images/monkey.png,images/monkey.png,images/monkey.png,images/cat.png,images/cat.png,images/cat.png,images/cat.png,monkey,monkey,monkey,monkey,monkey,penguin,monkey,penguin,cat,cat,cat,cat,monkey,penguin,cat,C,Y,all
121615_1,6,12/16/15,16:35,4.232717317,Female,sock,none,1228,some,all,none,nonesock,images/necklace.png,images/sock.png,images/necklace.png,images/sock.png,images/sock.png,images/sock.png,images/sock.png,images/sock.png,images/purse.png,images/purse.png,images/purse.png,images/purse.png,sock,sock,sock,sock,necklace,sock,necklace,sock,purse,purse,purse,purse,sock,necklace,purse,C,N,all
121615_1,7,12/16/15,16:35,4.232717317,Female,pretzel,some,1718,none,all,some,somepretzel,images/cake.png,images/cake.png,images/cake.png,images/cake.png,images/pretzel.png,images/pretzel.png,images/pretzel.png,images/pretzel.png,images/banana.png,images/pretzel.png,images/pretzel.png,images/banana.png,pretzel,pretzel,pretzel,pretzel,banana,pretzel,pretzel,banana,cake,cake,cake,cake,pretzel,banana,cake,C,N,all
121615_1,8,12/16/15,16:35,4.232717317,Female,trafficlight,none,2259,some,all,none,nonetrafficlight,images/tree.png,images/tree.png,images/trafficlight.png,images/trafficlight.png,images/trafficlight.png,images/trafficlight.png,images/trafficlight.png,images/trafficlight.png,images/toothbrush.png,images/toothbrush.png,images/toothbrush.png,images/toothbrush.png,trafficlight,trafficlight,trafficlight,trafficlight,tree,tree,trafficlight,trafficlight,toothbrush,toothbrush,toothbrush,toothbrush,trafficlight,tree,toothbrush,C,N,all
121615_1,9,12/16/15,16:35,4.232717317,Female,key,all,1444,some,all,none,allkey,images/key.png,images/key.png,images/partyhat.png,images/partyhat.png,images/key.png,images/key.png,images/key.png,images/key.png,images/plate.png,images/plate.png,images/plate.png,images/plate.png,key,key,key,key,key,key,partyhat,partyhat,plate,plate,plate,plate,key,partyhat,plate,C,Y,all
121615_1,10,12/16/15,16:35,4.232717317,Female,barn,some,1703,all,some,none,somebarn,images/barn.png,images/barn.png,images/barn.png,images/barn.png,images/plane.png,images/barn.png,images/barn.png,images/plane.png,images/cupcake.png,images/cupcake.png,images/cupcake.png,images/cupcake.png,barn,barn,barn,barn,plane,barn,barn,plane,cupcake,cupcake,cupcake,cupcake,barn,plane,cupcake,L,N,all
