Age,sub_ID,All,Implicature,None
3-3.5 years,070915_02,0.833333333,0.166666667,0
3-3.5 years,072015_05,1,0,0.166666667
3-3.5 years,072215_03,0,0.5,0.166666667
3-3.5 years,072215_06,0.5,0,0.5
3-3.5 years,072315_01,0.333333333,0.666666667,0.666666667
3-3.5 years,072315_02,1,0,0
3-3.5 years,080415_02,0,0.5,0.5
3-3.5 years,080415_04,0.666666667,0.333333333,0.166666667
3-3.5 years,080415_07,1,0.833333333,0.666666667
3-3.5 years,080415_09,1,0.166666667,0
3-3.5 years,080515_10,1,0.666666667,0
3-3.5 years,080515_12,0.833333333,0.666666667,0
3-3.5 years,080515_14,0,0.333333333,0
3-3.5 years,080615_01,0.5,0.5,0
3-3.5 years,080615_02,1,0,0
3-3.5 years,080615_03,0.166666667,0.333333333,0
3-3.5 years,080615_04,1,0,0
3-3.5 years,080615_05,0.666666667,0.5,0
3.5-4 years,070915_03,1,0,1
3.5-4 years,070915_04,1,0,0.666666667
3.5-4 years,071315_02,0.833333333,1,1
3.5-4 years,071415_01,1,0.5,0
3.5-4 years,071415_04,0.666666667,0.166666667,0.166666667
3.5-4 years,071415_06,1,0,0.833333333
3.5-4 years,072015_04,0.666666667,0.666666667,0
3.5-4 years,072015_06,1,0.5,0.166666667
3.5-4 years,072115_01,1,0,0
3.5-4 years,072115_02,0.333333333,0.333333333,0
3.5-4 years,072215_01,1,0,1
3.5-4 years,072215_07,1,0,0
3.5-4 years,080515_01,0.166666667,0.833333333,0.166666667
3.5-4 years,080515_05,1,0,0
3.5-4 years,080515_08,1,0,0
3.5-4 years,080515_09,0.833333333,0.166666667,0.166666667
3.5-4 years,080515_11,1,0,0.833333333
3.5-4 years,080515_13,1,0.833333333,1
4-4.5 years,070815_03,0.666666667,0.166666667,0
4-4.5 years,071415_03,1,0.833333333,1
4-4.5 years,072115_03,1,0.166666667,1
4-4.5 years,072215_02,0.333333333,0.666666667,0
4-4.5 years,072215_04,1,0.833333333,0.666666667
4-4.5 years,072415_01,1,0,1
4-4.5 years,072415_02,1,0,0
4-4.5 years,072415_04,1,0.166666667,0.166666667
4-4.5 years,080315_01,1,0,1
4-4.5 years,080315_02,1,0,0
4-4.5 years,080315_04,1,1,1
4-4.5 years,080415_03,0.5,0.5,0
4-4.5 years,080415_08,1,1,1
4-4.5 years,080415_10,0.5,0.5,0
4-4.5 years,080515_04,0.666666667,0.166666667,0.333333333
4-4.5 years,080515_06,1,0.5,1
4-4.5 years,080515_16,0.833333333,0.166666667,0
4-4.5 years,080615_06,0.166666667,0.333333333,0.333333333
4.5-5 years,070715_02,1,1,1
4.5-5 years,070715_03,1,0.333333333,0.833333333
4.5-5 years,070815_04,1,1,1
4.5-5 years,070815_06,1,1,1
4.5-5 years,071415_02,1,0,1
4.5-5 years,071615_01,1,1,0
4.5-5 years,071615_02,1,0,1
4.5-5 years,072015_01,1,0.833333333,1
4.5-5 years,072015_03,1,0.166666667,0.5
4.5-5 years,072215_05,1,1,1
4.5-5 years,072415_03,1,0.666666667,0.833333333
4.5-5 years,080315_03,1,0.666666667,0.666666667
4.5-5 years,080415_05,1,0.166666667,0
4.5-5 years,080415_06,1,0,0
4.5-5 years,080515_02,1,1,1
4.5-5 years,080515_03,1,1,0.833333333
4.5-5 years,080515_07,1,1,1
4.5-5 years,080515_15,1,0.666666667,1
