sub_id,trial_num,dot,time,age,sex,english,itemprompt,trial_type,rt,left_quant,center_quant,right_quant,audio_prompt,bookl_1,bookl_2,bookl_3,bookl_4,bookc_1,bookc_2,bookc_3,bookc_4,bookr_1,bookr_2,bookr_3,bookr_4,all1,all2,all3,all4,some1,some2,some3,some4,none1,none2,none3,none4,item1,item2,item3,selection_side,correct,selection_type
121615_1,1,12/16/15,16:35,4.232717317,F,1,comb,none,5499,all,some,none,nonecomb,images/comb.png,images/comb.png,images/comb.png,images/comb.png,images/lamp.png,images/comb.png,images/lamp.png,images/comb.png,images/bus.png,images/bus.png,images/bus.png,images/bus.png,comb,comb,comb,comb,lamp,comb,lamp,comb,bus,bus,bus,bus,comb,lamp,bus,L,N,all
121615_1,2,12/16/15,16:35,4.232717317,F,1,bee,some,5292,all,none,some,somebee,images/bee.png,images/bee.png,images/bee.png,images/bee.png,images/spoon.png,images/spoon.png,images/spoon.png,images/spoon.png,images/clock.png,images/bee.png,images/clock.png,images/bee.png,bee,bee,bee,bee,clock,bee,clock,bee,spoon,spoon,spoon,spoon,bee,clock,spoon,L,N,all
121615_1,3,12/16/15,16:35,4.232717317,F,1,lion,all,2458,some,all,none,alllion,images/lion.png,images/frog.png,images/frog.png,images/lion.png,images/lion.png,images/lion.png,images/lion.png,images/lion.png,images/bird.png,images/bird.png,images/bird.png,images/bird.png,lion,lion,lion,lion,lion,frog,frog,lion,bird,bird,bird,bird,lion,frog,bird,C,Y,all
121615_1,4,12/16/15,16:35,4.232717317,F,1,dress,none,3574,some,none,all,nonedress,images/shirt.png,images/shirt.png,images/dress.png,images/dress.png,images/shorts.png,images/shorts.png,images/shorts.png,images/shorts.png,images/dress.png,images/dress.png,images/dress.png,images/dress.png,dress,dress,dress,dress,shirt,shirt,dress,dress,shorts,shorts,shorts,shorts,dress,shirt,shorts,R,N,all
121615_1,5,12/16/15,16:35,4.232717317,F,1,monkey,all,351,some,all,none,allmonkey,images/monkey.png,images/penguin.png,images/monkey.png,images/penguin.png,images/monkey.png,images/monkey.png,images/monkey.png,images/monkey.png,images/cat.png,images/cat.png,images/cat.png,images/cat.png,monkey,monkey,monkey,monkey,monkey,penguin,monkey,penguin,cat,cat,cat,cat,monkey,penguin,cat,C,Y,all
121615_1,6,12/16/15,16:35,4.232717317,F,1,sock,none,1228,some,all,none,nonesock,images/necklace.png,images/sock.png,images/necklace.png,images/sock.png,images/sock.png,images/sock.png,images/sock.png,images/sock.png,images/purse.png,images/purse.png,images/purse.png,images/purse.png,sock,sock,sock,sock,necklace,sock,necklace,sock,purse,purse,purse,purse,sock,necklace,purse,C,N,all
121615_1,7,12/16/15,16:35,4.232717317,F,1,pretzel,some,1718,none,all,some,somepretzel,images/cake.png,images/cake.png,images/cake.png,images/cake.png,images/pretzel.png,images/pretzel.png,images/pretzel.png,images/pretzel.png,images/banana.png,images/pretzel.png,images/pretzel.png,images/banana.png,pretzel,pretzel,pretzel,pretzel,banana,pretzel,pretzel,banana,cake,cake,cake,cake,pretzel,banana,cake,C,N,all
121615_1,8,12/16/15,16:35,4.232717317,F,1,trafficlight,none,2259,some,all,none,nonetrafficlight,images/tree.png,images/tree.png,images/trafficlight.png,images/trafficlight.png,images/trafficlight.png,images/trafficlight.png,images/trafficlight.png,images/trafficlight.png,images/toothbrush.png,images/toothbrush.png,images/toothbrush.png,images/toothbrush.png,trafficlight,trafficlight,trafficlight,trafficlight,tree,tree,trafficlight,trafficlight,toothbrush,toothbrush,toothbrush,toothbrush,trafficlight,tree,toothbrush,C,N,all
121615_1,9,12/16/15,16:35,4.232717317,F,1,key,all,1444,some,all,none,allkey,images/key.png,images/key.png,images/partyhat.png,images/partyhat.png,images/key.png,images/key.png,images/key.png,images/key.png,images/plate.png,images/plate.png,images/plate.png,images/plate.png,key,key,key,key,key,key,partyhat,partyhat,plate,plate,plate,plate,key,partyhat,plate,C,Y,all
121615_1,10,12/16/15,16:35,4.232717317,F,1,barn,some,1703,all,some,none,somebarn,images/barn.png,images/barn.png,images/barn.png,images/barn.png,images/plane.png,images/barn.png,images/barn.png,images/plane.png,images/cupcake.png,images/cupcake.png,images/cupcake.png,images/cupcake.png,barn,barn,barn,barn,plane,barn,barn,plane,cupcake,cupcake,cupcake,cupcake,barn,plane,cupcake,L,N,all
121615_1,11,12/16/15,16:35,4.232717317,F,1,soccer,all,3097,some,all,none,allsoccer,images/soccer.png,images/crayon.png,images/crayon.png,images/soccer.png,images/soccer.png,images/soccer.png,images/soccer.png,images/soccer.png,images/bell.png,images/bell.png,images/bell.png,images/bell.png,soccer,soccer,soccer,soccer,soccer,crayon,crayon,soccer,bell,bell,bell,bell,soccer,crayon,bell,C,Y,all
121615_1,12,12/16/15,16:35,4.232717317,F,1,block,none,4233,none,some,all,noneblock,images/bike.png,images/bike.png,images/bike.png,images/bike.png,images/teddybear.png,images/block.png,images/teddybear.png,images/block.png,images/block.png,images/block.png,images/block.png,images/block.png,block,block,block,block,teddybear,block,teddybear,block,bike,bike,bike,bike,block,teddybear,bike,R,N,all
121615_1,13,12/16/15,16:35,4.232717317,F,1,guitar,all,2415,all,some,none,allguitar,images/guitar.png,images/guitar.png,images/guitar.png,images/guitar.png,images/guitar.png,images/guitar.png,images/boat.png,images/boat.png,images/balloon.png,images/balloon.png,images/balloon.png,images/balloon.png,guitar,guitar,guitar,guitar,guitar,guitar,boat,boat,balloon,balloon,balloon,balloon,guitar,boat,balloon,L,Y,all
121615_1,14,12/16/15,16:35,4.232717317,F,1,duck,none,1328,all,some,none,noneduck,images/duck.png,images/duck.png,images/duck.png,images/duck.png,images/dog.png,images/duck.png,images/dog.png,images/duck.png,images/turtle.png,images/turtle.png,images/turtle.png,images/turtle.png,duck,duck,duck,duck,dog,duck,dog,duck,turtle,turtle,turtle,turtle,duck,dog,turtle,L,N,all
121615_1,15,12/16/15,16:35,4.232717317,F,1,pig,all,1266,all,some,none,allpig,images/pig.png,images/pig.png,images/pig.png,images/pig.png,images/pig.png,images/sheep.png,images/pig.png,images/sheep.png,images/tiger.png,images/tiger.png,images/tiger.png,images/tiger.png,pig,pig,pig,pig,pig,sheep,pig,sheep,tiger,tiger,tiger,tiger,pig,sheep,tiger,L,Y,all
121615_1,16,12/16/15,16:35,4.232717317,F,1,paintbrush,all,2205,some,all,none,allpaintbrush,images/scissors.png,images/paintbrush.png,images/scissors.png,images/paintbrush.png,images/paintbrush.png,images/paintbrush.png,images/paintbrush.png,images/paintbrush.png,images/bucket.png,images/bucket.png,images/bucket.png,images/bucket.png,paintbrush,paintbrush,paintbrush,paintbrush,scissors,paintbrush,scissors,paintbrush,bucket,bucket,bucket,bucket,paintbrush,scissors,bucket,C,Y,all
121615_1,17,12/16/15,16:35,4.232717317,F,1,flower,some,1130,none,all,some,someflower,images/butterfly.png,images/butterfly.png,images/butterfly.png,images/butterfly.png,images/flower.png,images/flower.png,images/flower.png,images/flower.png,images/phone.png,images/flower.png,images/flower.png,images/phone.png,flower,flower,flower,flower,phone,flower,flower,phone,butterfly,butterfly,butterfly,butterfly,flower,phone,butterfly,C,N,all
121615_1,18,12/16/15,16:35,4.232717317,F,1,chair,none,10837,all,some,none,nonechair,images/chair.png,images/chair.png,images/chair.png,images/chair.png,images/map.png,images/chair.png,images/chair.png,images/map.png,images/firetruck.png,images/firetruck.png,images/firetruck.png,images/firetruck.png,chair,chair,chair,chair,map,chair,chair,map,firetruck,firetruck,firetruck,firetruck,chair,map,firetruck,R,Y,none
121615_1,19,12/16/15,16:35,4.232717317,F,1,table,none,1240,some,all,none,nonetable,images/cup.png,images/cup.png,images/table.png,images/table.png,images/table.png,images/table.png,images/table.png,images/table.png,images/stroller.png,images/stroller.png,images/stroller.png,images/stroller.png,table,table,table,table,cup,cup,table,table,stroller,stroller,stroller,stroller,table,cup,stroller,C,N,all
121615_1,20,12/16/15,16:35,4.232717317,F,1,carrot,all,2542,some,none,all,allcarrot,images/carrot.png,images/pear.png,images/carrot.png,images/pear.png,images/cookie.png,images/cookie.png,images/cookie.png,images/cookie.png,images/carrot.png,images/carrot.png,images/carrot.png,images/carrot.png,carrot,carrot,carrot,carrot,carrot,pear,carrot,pear,cookie,cookie,cookie,cookie,carrot,pear,cookie,R,Y,all
121615_1,21,12/16/15,16:35,4.232717317,F,1,horse,some,7277,some,all,none,somehorse,images/chicken.png,images/horse.png,images/chicken.png,images/horse.png,images/horse.png,images/horse.png,images/horse.png,images/horse.png,images/goat.png,images/goat.png,images/goat.png,images/goat.png,horse,horse,horse,horse,chicken,horse,chicken,horse,goat,goat,goat,goat,horse,chicken,goat,C,N,all
121615_1,22,12/16/15,16:35,4.232717317,F,1,orange,none,3542,some,all,none,noneorange,images/orange.png,images/orange.png,images/popsicle.png,images/popsicle.png,images/orange.png,images/orange.png,images/orange.png,images/orange.png,images/pizza.png,images/pizza.png,images/pizza.png,images/pizza.png,orange,orange,orange,orange,orange,orange,popsicle,popsicle,pizza,pizza,pizza,pizza,orange,popsicle,pizza,C,N,all
121615_1,23,12/16/15,16:35,4.232717317,F,1,present,all,7676,none,some,all,allpresent,images/train.png,images/train.png,images/train.png,images/train.png,images/present.png,images/fork.png,images/fork.png,images/present.png,images/present.png,images/present.png,images/present.png,images/present.png,present,present,present,present,present,fork,fork,present,train,train,train,train,present,fork,train,L,N,none
121715_1,1,12/17/15,15:31,3.121149897,M,1,purse,none,8999,none,all,some,nonepurse,images/shorts.png,images/shorts.png,images/shorts.png,images/shorts.png,images/purse.png,images/purse.png,images/purse.png,images/purse.png,images/purse.png,images/purse.png,images/dress.png,images/dress.png,purse,purse,purse,purse,purse,purse,dress,dress,shorts,shorts,shorts,shorts,purse,dress,shorts,C,N,all
121715_1,2,12/17/15,15:31,3.121149897,M,1,block,all,4118,some,all,none,allblock,images/teddybear.png,images/block.png,images/teddybear.png,images/block.png,images/block.png,images/block.png,images/block.png,images/block.png,images/balloon.png,images/balloon.png,images/balloon.png,images/balloon.png,block,block,block,block,teddybear,block,teddybear,block,balloon,balloon,balloon,balloon,block,teddybear,balloon,C,Y,all
121715_1,3,12/17/15,15:31,3.121149897,M,1,boat,none,1628,some,none,all,noneboat,images/crayon.png,images/crayon.png,images/boat.png,images/boat.png,images/drum.png,images/drum.png,images/drum.png,images/drum.png,images/boat.png,images/boat.png,images/boat.png,images/boat.png,boat,boat,boat,boat,crayon,crayon,boat,boat,drum,drum,drum,drum,boat,crayon,drum,L,N,some
121715_1,4,12/17/15,15:31,3.121149897,M,1,donut,some,5431,none,all,some,somedonut,images/popsicle.png,images/popsicle.png,images/popsicle.png,images/popsicle.png,images/donut.png,images/donut.png,images/donut.png,images/donut.png,images/cake.png,images/donut.png,images/donut.png,images/cake.png,donut,donut,donut,donut,cake,donut,donut,cake,popsicle,popsicle,popsicle,popsicle,donut,cake,popsicle,C,N,all
121715_1,5,12/17/15,15:31,3.121149897,M,1,bee,all,84,some,all,none,allbee,images/bee.png,images/fork.png,images/bee.png,images/fork.png,images/bee.png,images/bee.png,images/bee.png,images/bee.png,images/cup.png,images/cup.png,images/cup.png,images/cup.png,bee,bee,bee,bee,bee,fork,bee,fork,cup,cup,cup,cup,bee,fork,cup,C,Y,all
121715_1,6,12/17/15,15:31,3.121149897,M,1,partyhat,some,10819,some,none,all,somepartyhat,images/partyhat.png,images/partyhat.png,images/fence.png,images/fence.png,images/toothbrush.png,images/toothbrush.png,images/toothbrush.png,images/toothbrush.png,images/partyhat.png,images/partyhat.png,images/partyhat.png,images/partyhat.png,partyhat,partyhat,partyhat,partyhat,partyhat,partyhat,fence,fence,toothbrush,toothbrush,toothbrush,toothbrush,partyhat,fence,toothbrush,L,Y,some
121715_1,7,12/17/15,15:31,3.121149897,M,1,mitten,all,7854,none,some,all,allmitten,images/zipper.png,images/zipper.png,images/zipper.png,images/zipper.png,images/mitten.png,images/mitten.png,images/glasses.png,images/glasses.png,images/mitten.png,images/mitten.png,images/mitten.png,images/mitten.png,mitten,mitten,mitten,mitten,mitten,mitten,glasses,glasses,zipper,zipper,zipper,zipper,mitten,glasses,zipper,C,N,some
121715_1,8,12/17/15,15:31,3.121149897,M,1,map,some,6217,all,some,none,somemap,images/map.png,images/map.png,images/map.png,images/map.png,images/map.png,images/car.png,images/map.png,images/car.png,images/chair.png,images/chair.png,images/chair.png,images/chair.png,map,map,map,map,map,car,map,car,chair,chair,chair,chair,map,car,chair,L,N,all
121715_1,9,12/17/15,15:31,3.121149897,M,1,lamp,none,4498,some,none,all,nonelamp,images/present.png,images/lamp.png,images/present.png,images/lamp.png,images/butterfly.png,images/butterfly.png,images/butterfly.png,images/butterfly.png,images/lamp.png,images/lamp.png,images/lamp.png,images/lamp.png,lamp,lamp,lamp,lamp,present,lamp,present,lamp,butterfly,butterfly,butterfly,butterfly,lamp,present,butterfly,R,N,all
121715_1,10,12/17/15,15:31,3.121149897,M,1,bell,all,6399,none,all,some,allbell,images/bucket.png,images/bucket.png,images/bucket.png,images/bucket.png,images/bell.png,images/bell.png,images/bell.png,images/bell.png,images/bell.png,images/scissors.png,images/scissors.png,images/bell.png,bell,bell,bell,bell,bell,scissors,scissors,bell,bucket,bucket,bucket,bucket,bell,scissors,bucket,C,Y,all
121715_1,11,12/17/15,15:31,3.121149897,M,1,goat,some,3908,all,some,none,somegoat,images/goat.png,images/goat.png,images/goat.png,images/goat.png,images/monkey.png,images/goat.png,images/monkey.png,images/goat.png,images/cat.png,images/cat.png,images/cat.png,images/cat.png,goat,goat,goat,goat,monkey,goat,monkey,goat,cat,cat,cat,cat,goat,monkey,cat,L,N,all
121715_1,12,12/17/15,15:31,3.121149897,M,1,plane,none,12751,all,none,some,noneplane,images/plane.png,images/plane.png,images/plane.png,images/plane.png,images/firetruck.png,images/firetruck.png,images/firetruck.png,images/firetruck.png,images/plane.png,images/house.png,images/plane.png,images/house.png,plane,plane,plane,plane,plane,house,plane,house,firetruck,firetruck,firetruck,firetruck,plane,house,firetruck,L,N,all
121715_1,13,12/17/15,15:31,3.121149897,M,1,paintbrush,some,11016,all,none,some,somepaintbrush,images/paintbrush.png,images/paintbrush.png,images/paintbrush.png,images/paintbrush.png,images/guitar.png,images/guitar.png,images/guitar.png,images/guitar.png,images/pencil.png,images/paintbrush.png,images/paintbrush.png,images/pencil.png,paintbrush,paintbrush,paintbrush,paintbrush,pencil,paintbrush,paintbrush,pencil,guitar,guitar,guitar,guitar,paintbrush,pencil,guitar,L,N,all
